transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,date,delay_minutes,route_name,hour,transDate,vehicle_id,distance_km,on_time,revenue_per_km,satisfaction_score
RDRO237D3Q73AM,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-06 05:26:04,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-06 06:02:22,3500.0,2023-04-06,1.8380329173094276,Corridor 2,5,2023-04-06,1011,10.069660478314054,1,347.5787498036874,90.80983541345286
NADK354X9G14BL,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-06 16:53:26,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-06 18:33:45,3500.0,2023-04-06,2.791007458579034,Corridor 2,16,2023-04-06,1017,10.164048540120511,1,344.3509725661446,86.04496270710483
SLBO053R5B97ES,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-06 16:52:38,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-06 17:54:40,3500.0,2023-04-06,4.935917180864439,Corridor 2,16,2023-04-06,1032,11.62026325003596,1,301.1979956640973,75.3204140956778
SQFG517T8G31TR,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-07 06:48:05,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-07 07:37:27,3500.0,2023-04-07,2.6237874148441556,Corridor 2,6,2023-04-07,1014,14.866284809174612,1,235.4320561543394,86.88106292577922
XIWR063X7I78MA,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-07 16:21:34,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-07 17:34:35,3500.0,2023-04-07,0.8129616160316746,Corridor 2,16,2023-04-07,1036,9.100107644476576,1,384.6108350294481,95.93519191984163
BAKW792E7J25SA,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-07 16:33:18,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-07 17:49:22,3500.0,2023-04-07,6.376544582998473,Corridor 2,16,2023-04-07,1011,9.36171392465623,0,373.86316524605,68.11727708500763
WGYT085P7D93UC,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-10 05:10:45,P00137,Monas,-6.176248,106.82286,19.0,2023-04-10 05:48:30,3500.0,2023-04-10,1.8066417844554066,Corridor 2,5,2023-04-10,1008,13.022460325477194,1,268.7664168308185,90.96679107772297
FRMR983M5G15EI,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-10 06:13:31,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-10 06:56:43,3500.0,2023-04-10,0.2155620439680943,Corridor 2,6,2023-04-10,1032,14.994126608706093,1,233.42473298630028,98.92218978015953
UHVA380E6C86TS,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-10 16:33:07,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-10 18:29:46,3500.0,2023-04-10,4.510922046423616,Corridor 2,16,2023-04-10,1047,8.622042210025239,1,405.9363100693698,77.44538976788192
VOSV949X7W94EY,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-10 17:24:41,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-10 19:06:50,3500.0,2023-04-10,4.82300739351233,Corridor 2,17,2023-04-10,1030,9.016187182348915,1,388.19069848638316,75.88496303243835
UIMK862Z2D67FI,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-11 06:59:28,P00137,Monas,-6.176248,106.82286,19.0,2023-04-11 07:52:36,3500.0,2023-04-11,4.802678071207651,Corridor 2,6,2023-04-11,1026,9.53175031607639,1,367.1938399495052,75.98660964396174
YEJW600N3N46KN,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-11 05:01:41,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-11 05:42:58,3500.0,2023-04-11,2.770396069429245,Corridor 2,5,2023-04-11,1025,12.38053573111357,1,282.7018213116689,86.14801965285378
UIHI726I5C90KP,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-11 17:45:17,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-11 19:20:36,3500.0,2023-04-11,0.09242736890028214,Corridor 2,17,2023-04-11,1044,13.51082659697141,1,259.05150768381264,99.53786315549858
RIKO977R8H04KT,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-11 16:41:13,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-11 17:59:34,3500.0,2023-04-11,2.34279387691745,Corridor 2,16,2023-04-11,1034,12.027102938059762,1,291.00939918991224,88.28603061541276
HWGP887Y5K16AP,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-12 06:40:55,P00137,Monas,-6.176248,106.82286,19.0,2023-04-12 07:08:48,3500.0,2023-04-12,1.3947196026375936,Corridor 2,6,2023-04-12,1037,11.671130287501873,1,299.8852650756546,93.02640198681203
WCEL891N7W03NA,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-12 05:05:26,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-12 05:30:15,3500.0,2023-04-12,2.2698611556171144,Corridor 2,5,2023-04-12,1030,13.879466547206777,1,252.1710750262495,88.65069422191442
JKEB933D9X77XO,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-12 17:42:59,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-12 18:54:47,3500.0,2023-04-12,1.985950365521226,Corridor 2,17,2023-04-12,1022,12.369595502084254,1,282.95185557282423,90.07024817239387
QUZT295D0G37AM,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-12 16:45:10,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-12 18:41:26,3500.0,2023-04-12,0.7339093723759857,Corridor 2,16,2023-04-12,1008,8.200387502430626,1,426.8090988337547,96.33045313812008
XQNE214H4V38VG,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-13 06:48:20,P00137,Monas,-6.176248,106.82286,19.0,2023-04-13 07:40:52,3500.0,2023-04-13,0.0,Corridor 2,6,2023-04-13,1044,9.77126732759177,1,358.1930452477561,100.0
BJOC806J4S09LM,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-13 06:22:58,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-13 07:15:06,3500.0,2023-04-13,2.685364097866478,Corridor 2,6,2023-04-13,1035,13.688455623453752,1,255.68991099354642,86.57317951066761
VCVL221Z6H42QI,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-13 17:58:50,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-13 19:55:30,3500.0,2023-04-13,3.1276677120010907,Corridor 2,17,2023-04-13,1021,8.632377464092423,1,405.4502962316856,84.36166143999455
BPYR907J9Y27VX,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-14 05:05:19,P00137,Monas,-6.176248,106.82286,19.0,2023-04-14 06:01:46,3500.0,2023-04-14,6.755979339513927,Corridor 2,5,2023-04-14,1042,10.612055093464262,0,329.81359116346607,66.22010330243037
JYHB295P4B06UL,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-14 17:27:48,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-14 18:54:51,3500.0,2023-04-14,4.569260094595932,Corridor 2,17,2023-04-14,1026,12.370519965946714,1,282.93071023972476,77.15369952702034
MYMS452X0Z71MH,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-14 17:41:11,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-14 19:27:11,3500.0,2023-04-14,4.009525266817727,Corridor 2,17,2023-04-14,1032,8.946871068103187,1,391.19821593025705,79.95237366591137
YEPV634O7X44SN,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-17 05:13:25,P00137,Monas,-6.176248,106.82286,19.0,2023-04-17 05:41:29,3500.0,2023-04-17,4.864647253683024,Corridor 2,5,2023-04-17,1047,12.222702319322721,1,286.3523882494375,75.67676373158488
HBBO155N1D46GC,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-17 06:30:16,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-17 07:19:43,3500.0,2023-04-17,1.3635765651887033,Corridor 2,6,2023-04-17,1033,14.016837884155862,1,249.69968468824743,93.18211717405649
SKIV960I0R73CJ,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-17 17:56:02,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-17 19:33:40,3500.0,2023-04-17,4.040510866679471,Corridor 2,17,2023-04-17,1005,10.27824744646187,1,340.5249794024779,79.79744566660264
QFCZ422T7M16YP,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-17 17:16:48,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-17 18:40:11,3500.0,2023-04-17,0.011252561240020942,Corridor 2,17,2023-04-17,1021,8.269335384083906,1,423.2504593702287,99.94373719379989
RIHX071Q5J49XB,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-18 06:59:25,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-18 07:26:42,3500.0,2023-04-18,3.3428639175085744,Corridor 2,6,2023-04-18,1031,10.962302405237848,1,319.27599427723146,83.28568041245713
DVOM104T2U38UR,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-18 16:48:00,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-18 18:45:39,3500.0,2023-04-18,6.082288315085945,Corridor 2,16,2023-04-18,1024,10.713334130182382,0,326.69568198564315,69.58855842457027
LDCU482P0N16KY,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-18 16:56:17,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-18 18:27:25,3500.0,2023-04-18,3.452695153177369,Corridor 2,16,2023-04-18,1012,12.514675666200853,1,279.6716505768234,82.73652423411315
EMWI267C0P07PW,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-19 05:56:34,P00137,Monas,-6.176248,106.82286,19.0,2023-04-19 06:21:07,3500.0,2023-04-19,3.9392306635677827,Corridor 2,5,2023-04-19,1004,8.902536127033354,1,393.1463967185636,80.3038466821611
ZVSX403V8G07AG,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-19 05:00:53,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-19 05:25:23,3500.0,2023-04-19,2.672138065410429,Corridor 2,5,2023-04-19,1030,10.920651601472423,1,320.4936965050783,86.63930967294786
GLBD624I3C74SL,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-19 17:49:53,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-19 19:01:57,3500.0,2023-04-19,2.3813099694944793,Corridor 2,17,2023-04-19,1002,8.123531912761415,1,430.8470795199046,88.09345015252761
DXQQ372H8C94BW,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-19 17:06:56,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-19 18:09:56,3500.0,2023-04-19,0.0,Corridor 2,17,2023-04-19,1002,13.480483335103472,1,259.63460752819776,100.0
THBB520H1T95SO,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-20 05:54:09,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-20 06:39:11,3500.0,2023-04-20,0.7395753974094368,Corridor 2,5,2023-04-20,1014,11.664147288110621,1,300.0647980129318,96.30212301295282
OBOO285Q9Q58MY,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-20 17:18:41,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-20 18:08:42,3500.0,2023-04-20,4.545525814476047,Corridor 2,17,2023-04-20,1021,9.413974121538638,1,371.78772267837434,77.27237092761976
FWLK263L1L48XX,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-20 16:36:05,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-20 18:35:56,3500.0,2023-04-20,4.2987360002667865,Corridor 2,16,2023-04-20,1001,12.38881519885707,1,282.5128911700041,78.50631999866607
HRYX783H5V02HY,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-21 05:40:38,P00137,Monas,-6.176248,106.82286,19.0,2023-04-21 06:28:32,3500.0,2023-04-21,9.066872552416786,Corridor 2,5,2023-04-21,1030,13.02841364829685,0,268.64360423938035,54.66563723791607
ZBFH148Y2M64KD,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-21 06:36:51,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-21 07:30:20,3500.0,2023-04-21,2.3153390876820774,Corridor 2,6,2023-04-21,1036,8.055493807477491,1,434.4860890776347,88.42330456158962
WELF373H0P79VD,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-21 16:40:35,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-21 17:41:52,3500.0,2023-04-21,3.405479308191345,Corridor 2,16,2023-04-21,1046,14.940930667924803,1,234.2558223306532,82.97260345904327
EQUQ437Y9H40EU,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-21 17:14:35,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-21 18:06:28,3500.0,2023-04-21,5.845101472867379,Corridor 2,17,2023-04-21,1001,8.095369614189865,0,432.3459170863638,70.77449263566311
JBBW134R1O01AF,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-24 06:42:52,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-24 07:33:31,3500.0,2023-04-24,0.45652371813667747,Corridor 2,6,2023-04-24,1047,10.398611137476932,1,336.5834103927482,97.71738140931662
HPBA263G5S68EH,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-24 17:38:19,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-24 19:22:23,3500.0,2023-04-24,4.7344618434590435,Corridor 2,17,2023-04-24,1002,9.815069241396083,1,356.5945296889382,76.32769078270478
PPJK643B5O70IB,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-24 17:20:33,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-24 18:12:43,3500.0,2023-04-24,5.087516181074966,Corridor 2,17,2023-04-24,1045,11.841400798464706,0,295.57313864874766,74.56241909462517
SMYR513X1D65CD,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-25 05:33:56,P00137,Monas,-6.176248,106.82286,19.0,2023-04-25 06:14:25,3500.0,2023-04-25,0.21611800214207477,Corridor 2,5,2023-04-25,1048,11.721950786397434,1,298.5851129883196,98.91940998928962
XTPM716B6B78VY,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-25 06:10:46,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-25 06:58:25,3500.0,2023-04-25,1.8842117102544103,Corridor 2,6,2023-04-25,1013,9.380741023497485,1,373.10485293570883,90.57894144872795
WLHW497N0A88RN,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-25 16:19:20,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-25 17:47:32,3500.0,2023-04-25,2.5612103355848093,Corridor 2,16,2023-04-25,1047,10.690142702806444,1,327.4044226819496,87.19394832207595
IEHQ557R6S32HW,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-26 05:44:07,P00137,Monas,-6.176248,106.82286,19.0,2023-04-26 06:06:41,3500.0,2023-04-26,2.236775802110941,Corridor 2,5,2023-04-26,1008,14.894129672419442,1,234.9919113757421,88.8161209894453
WZPE558O4A21FM,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-26 06:11:20,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-26 06:45:43,3500.0,2023-04-26,3.3503652683682494,Corridor 2,6,2023-04-26,1036,9.195719283845778,1,380.6118795022907,83.24817365815875
MBCU021K0C01OI,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-26 16:32:40,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-26 17:37:27,3500.0,2023-04-26,3.6741761881421584,Corridor 2,16,2023-04-26,1014,10.528455095674275,1,332.4324383962098,81.62911905928921
ODSU197J8N46HH,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-26 16:37:40,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-26 18:24:15,3500.0,2023-04-26,0.0,Corridor 2,16,2023-04-26,1018,11.5062677939783,1,304.1820390997412,100.0
YTXD596J3E29MA,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-27 05:46:09,P00137,Monas,-6.176248,106.82286,19.0,2023-04-27 06:09:13,3500.0,2023-04-27,3.1977440140057873,Corridor 2,5,2023-04-27,1025,12.125704083775751,1,288.64303266999696,84.01127992997107
DRAY570O3Z00CA,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,1.0,P00037,Cempaka Tengah,-6.170398,106.86659,8,2023-04-27 16:25:10,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-27 17:31:54,3500.0,2023-04-27,1.5760037353571026,Corridor 2,16,2023-04-27,1001,11.735833710769953,1,298.23190122300866,92.11998132321449
ECKZ337V9V88DL,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,1.0,P00014,Bermis,-6.178203,106.89859,14,2023-04-27 16:06:50,P00192,Pulo Gadung 1,-6.183239,106.90907,15.0,2023-04-27 17:08:13,3500.0,2023-04-27,3.604923415176686,Corridor 2,16,2023-04-27,1041,11.17717208693754,1,313.1382404043287,81.97538292411657
HRVC039V9J11IN,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-28 06:37:54,P00137,Monas,-6.176248,106.82286,19.0,2023-04-28 07:07:28,3500.0,2023-04-28,1.6424768860793775,Corridor 2,6,2023-04-28,1017,12.14593177565494,1,288.1623299593473,91.7876155696031
